Campo,Descripción,Tipo,Valor,,Observaciones
id_hogar,Código identificador del hogar,Numérica,,,Campo construido
id_persona,Código identificador de la persona,Numérica,,,Campo construido
partido,Código identificador del partido o comuna (INDEC),Numérica,,,
nombre_partido,Nombre del partido o comuna,Texto,,,
IV_2_edad,¿Cuántos años cumplidos tienen en este momento?,Númerica,,,
IV_4_sexo,Sexo,Númerica,1,Varon,
,,,2,Mujer,
IV_6_relacionConJefeDeHogar,¿Cuál es la relacion de parentesco que tiene con el jefe/a de hogar?,Númerica,1,Jefe/a de hogar,
,,,2,Esposo/a o compañero/a,
,,,3,Hijo/a o Hijastro/a,
,,,4,Otro pariente,
,,,5,Empleado domestico/a,
,,,6,Pensionista huesped o visitante,
,,,7,Otro NO pariente,
,,,8,Madre/ Padres,
IV_7_dificultad,¿Tiene alguna(s) dificulta(des) o limitacion(es) permanente(s) para:,Númerica,1,Ver aun con ateojos puestos?,"Originalmente el valor que tomaba la respuesta era una letra lo que se modificó por un número. Las respuestas de los encuestados pueden tener más de una elección, en cuyo caso aparece como una combinación de números."
,,,2,"Oir, aun cuando usa audifono?",
,,,3,Caminar o subir escalones?,
,,,4,Sujetar objetos y /o abrir recipientes con las manos?,
,,,5,Hablar?,
,,,6,Entender y/o aprender?,
,,,7,No tiene ninguna,
IV_9_cursaActualmente,¿actualmente cursa algun estudio?,Númerica,1,Si,
,,,2,No,
IV_10_nivel_cursando,¿Cuál es el nivel que se encuentra cursando?,Númerica,1,Jardin Maternal,
,,,2,Jardin de infantes,
,,,3,Primario,
,,,4,Secundario,
,,,5,Terciario o superior Universitario,
,,,6,Universitario,
,,,7,Post Universitario,
,,,8,Educación especial,
,,,9,Educación No formal,
,,,22,Otro,
IV_11_ambito_cursando,¿En que ambito cursa?,Númerica,1,Público/Estatal,
,,,2,Privado Religioso,
,,,3,Privado No religioso,
,,,22,Otro,
IV_12_nivel_aprobado,¿Cuál es el máximo nivel de estudios aprobados?,Númerica,1,Niguno/ Sin estudios,
,,,2,Primario,
,,,3,Secundario,
,,,4,Terciario o Superior no Universitario,
,,,5,Universitario,
,,,6,Post Universitario,
,,,7,Educacion especial,
,,,22,Otro,
Trabaja_Si_No (0=SD),"Variable construida a partir de las respuestas ante la pregunta ""Durante la semana pasada ¿Cuál fue su situacion respecto del trabajo?""",Númerica,0,Sin dato,Campo construido
,,,1,Trabaja,
,,,2,No trabaja,
V_4_situacion_laboral,Durante la semana pasada ¿Cuál fue su situacion respecto del trabajo?,Númerica,1,Trabajo Normalmente,
,,,2,Trabajo al menos una hora,
,,,3,Realizo alguna changa,
,,,4,Fabrico o hizo algo para vender,
,,,5,Ayudo a un familiar o amigo en un negocio,
,,,6,No tuvo o no pudo trabajar pero tiene empleo,
,,,7,Tenia un trabajo y/o negocio al que no concurrio y/o atendio,
,,,8,No tuvo pedidos de trabajo y/o clientes,
,,,9,No tiene empleo pero busca trabajo,
,,,10,No tiene empleo,
V_5_porque_no_trabajo,"¿La semana pasada no tuvo que trabajar, no pudo trabajar o no concurrio a trabajar, porque motivo?",Númerica,1,"Estaba de vacaciones, licencia (enfermedad, matrimonio, embarazo, etc)",
,,,2,"Causas personales (viajes, tramites,etc.)",
,,,3,Habia una huelga o conflicto laboral,
,,,4,Suspension con pago,
